"ActorFolder","File","Line","Damage","Effect"
"ovl_En_Sb","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Sb\z_en_sb.c","74","0","0x0"
"ovl_En_Skb","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Skb\z_en_skb.c","90","3","0xD"
"ovl_En_Skj","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Skj\z_en_skj.c","220","0","0x0"
"ovl_En_Test","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Test\z_en_test.c","232","0","STALFOS_DMGEFF_LIGHT"
"ovl_En_Tite","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Tite\z_en_tite.c","140","0","0xE"
"ovl_En_Torch2","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Torch2\z_en_torch2.c","112","3","0xD"
"ovl_En_Toryo","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Toryo\z_en_toryo.c","78","0","0x0"
"ovl_En_Tp","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Tp\z_en_tp.c","110","0","TAILPASARAN_DMGEFF_NONE"
"ovl_En_Vali","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Vali\z_en_vali.c","120","0","BARI_DMGEFF_NONE"
"ovl_En_Wallmas","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Wallmas\z_en_wallmas.c","100","4","0x4"
"ovl_En_Weiyer","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Weiyer\z_en_weiyer.c","86","0","0x0"
"ovl_En_Wf","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Wf\z_en_wf.c","178","3","ENWF_DMGEFF_LIGHT_MAGIC"
"ovl_En_Zf","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Zf\z_en_zf.c","187","0","ENZF_DMGEFF_IMMUNE"
